id,expansion,name,rarity,color_identity,mana_value,types,is_booster
66099,XLN,Prosperous Pirates,common,U,5,Creature - Human Pirate,True
66101,XLN,River Sneak,uncommon,U,2,Creature - Merfolk Warrior,True
66103,XLN,River's Rebuke,rare,U,6,Sorcery,True
66105,XLN,Run Aground,common,U,4,Instant,True
66107,XLN,Sailor of Means,common,U,3,Creature - Human Pirate,True
66109,XLN,Search for Azcanta,rare,U,2,Legendary Enchantment,True
66111,XLN,"Azcanta, the Sunken Ruin",rare,U,0,Legendary Land,False
66113,XLN,Shaper Apprentice,common,U,2,Creature - Merfolk Wizard,True
66115,XLN,Shipwreck Looter,common,U,2,Creature - Human Pirate,True
66117,XLN,Shore Keeper,common,U,1,Creature - Trilobite,True
66119,XLN,Siren Lookout,common,U,3,Creature - Siren Pirate,True
66121,XLN,Siren Stormtamer,uncommon,U,1,Creature - Siren Pirate Wizard,True
66123,XLN,Siren's Ruse,common,U,2,Instant,True
66125,XLN,Spell Pierce,common,U,1,Instant,True
66127,XLN,Spell Swindle,rare,U,5,Instant,True
66129,XLN,Storm Fleet Aerialist,uncommon,U,2,Creature - Human Pirate,True
66131,XLN,Storm Fleet Spy,uncommon,U,3,Creature - Human Pirate,True
66133,XLN,Storm Sculptor,common,U,4,Creature - Merfolk Wizard,True
66135,XLN,Tempest Caller,uncommon,U,4,Creature - Merfolk Wizard,True
66137,XLN,Watertrap Weaver,common,U,3,Creature - Merfolk Wizard,True
66139,XLN,Wind Strider,common,U,5,Creature - Merfolk Wizard,True
66141,XLN,Anointed Deacon,common,B,5,Creature - Vampire Cleric,True
66143,XLN,Arguel's Blood Fast,rare,B,2,Legendary Enchantment,True
66145,XLN,Temple of Aclazotz,rare,B,0,Legendary Land,False
66147,XLN,Bishop of the Bloodstained,uncommon,B,5,Creature - Vampire Cleric,True
66149,XLN,Blight Keeper,common,B,1,Creature - Bat Imp,True
66151,XLN,Bloodcrazed Paladin,rare,B,2,Creature - Vampire Knight,True
66153,XLN,Boneyard Parley,mythic,B,7,Sorcery,True
66155,XLN,Contract Killing,common,B,5,Sorcery,True
66157,XLN,Costly Plunder,common,B,2,Instant,True
66159,XLN,Dark Nourishment,uncommon,B,5,Instant,True
66161,XLN,Deadeye Tormentor,common,B,3,Creature - Human Pirate,True
66163,XLN,Deadeye Tracker,rare,B,1,Creature - Human Pirate,True
66165,XLN,Deathless Ancient,uncommon,B,6,Creature - Vampire Knight,True
66167,XLN,Desperate Castaways,common,B,2,Creature - Human Pirate,True
66169,XLN,Dire Fleet Hoarder,common,B,2,Creature - Human Pirate,True
66171,XLN,Dire Fleet Interloper,common,B,4,Creature - Human Pirate,True
66173,XLN,Dire Fleet Ravager,mythic,B,5,Creature - Orc Pirate Wizard,True
66175,XLN,Duress,common,B,1,Sorcery,True
66177,XLN,Fathom Fleet Captain,rare,B,2,Creature - Human Pirate,True
66179,XLN,Fathom Fleet Cutthroat,common,B,4,Creature - Human Pirate,True
66181,XLN,Grim Captain's Call,uncommon,B,3,Sorcery,True
66183,XLN,Heartless Pillage,uncommon,B,3,Sorcery,True
66185,XLN,Kitesail Freebooter,uncommon,B,2,Creature - Human Pirate,True
66187,XLN,Lurking Chupacabra,uncommon,B,4,Creature - Beast Horror,True
66189,XLN,March of the Drowned,common,B,1,Sorcery,True
66191,XLN,Mark of the Vampire,common,B,4,Enchantment - Aura,True
66193,XLN,Queen's Agent,common,B,6,Creature - Vampire Scout,True
66195,XLN,Queen's Bay Soldier,common,B,2,Creature - Vampire Soldier,True
66197,XLN,Raiders' Wake,uncommon,B,4,Enchantment,True
66199,XLN,Revel in Riches,rare,B,5,Enchantment,True
66201,XLN,Ruin Raider,rare,B,3,Creature - Orc Pirate,True
66203,XLN,Ruthless Knave,uncommon,B,3,Creature - Orc Pirate,True
66205,XLN,Sanctum Seeker,rare,B,4,Creature - Vampire Knight,True
66207,XLN,Seekers' Squire,uncommon,B,2,Creature - Human Scout,True
66209,XLN,Skittering Heartstopper,common,B,1,Creature - Insect,True
66211,XLN,Skulduggery,common,B,1,Instant,True
66213,XLN,Skymarch Bloodletter,common,B,3,Creature - Vampire Soldier,True
66215,XLN,Spreading Rot,common,B,5,Sorcery,True
66217,XLN,Sword-Point Diplomacy,rare,B,3,Sorcery,True
66219,XLN,Vanquish the Weak,common,B,3,Instant,True
66221,XLN,Vicious Conquistador,uncommon,B,1,Creature - Vampire Soldier,True
66223,XLN,Vraska's Contempt,rare,B,4,Instant,True
66225,XLN,Walk the Plank,uncommon,B,2,Sorcery,True
66227,XLN,Wanted Scoundrels,uncommon,B,2,Creature - Human Pirate,True
66229,XLN,Angrath's Marauders,rare,R,7,Creature - Human Pirate,True
66231,XLN,Bonded Horncrest,uncommon,R,4,Creature - Dinosaur,True
66233,XLN,Brazen Buccaneers,common,R,4,Creature - Human Pirate,True
66235,XLN,Burning Sun's Avatar,rare,R,6,Creature - Dinosaur Avatar,True
66237,XLN,Captain Lannery Storm,rare,R,3,Legendary Creature - Human Pirate,True
66239,XLN,Captivating Crew,rare,R,4,Creature - Human Pirate,True
66241,XLN,Charging Monstrosaur,uncommon,R,5,Creature - Dinosaur,True
66243,XLN,Demolish,common,R,4,Sorcery,True
66245,XLN,Dinosaur Stampede,uncommon,R,3,Instant,True
66247,XLN,Dual Shot,common,R,1,Instant,True
66249,XLN,Fathom Fleet Firebrand,common,R,2,Creature - Human Pirate,True
66251,XLN,Fiery Cannonade,uncommon,R,3,Instant,True
66253,XLN,Fire Shrine Keeper,common,R,1,Creature - Elemental,True
66255,XLN,Firecannon Blast,common,R,3,Sorcery,True
66257,XLN,Frenzied Raptor,common,R,3,Creature - Dinosaur,True
66259,XLN,Headstrong Brute,common,R,3,Creature - Orc Pirate,True
66261,XLN,Hijack,common,R,3,Sorcery,True
66263,XLN,Lightning Strike,uncommon,R,2,Instant,True
66265,XLN,Lightning-Rig Crew,uncommon,R,3,Creature - Goblin Pirate,True
66267,XLN,Makeshift Munitions,uncommon,R,2,Enchantment,True
66269,XLN,Nest Robber,common,R,2,Creature - Dinosaur,True
66271,XLN,Otepec Huntmaster,uncommon,R,2,Creature - Human Shaman,True
66273,XLN,Rampaging Ferocidon,rare,R,3,Creature - Dinosaur,True
66275,XLN,Raptor Hatchling,uncommon,R,2,Creature - Dinosaur,True
66277,XLN,Repeating Barrage,rare,R,3,Sorcery,True
66279,XLN,Rigging Runner,uncommon,R,1,Creature - Goblin Pirate,True
66281,XLN,Rile,common,R,1,Sorcery,True
66283,XLN,Rowdy Crew,mythic,R,4,Creature - Human Pirate,True
66285,XLN,Rummaging Goblin,common,R,3,Creature - Goblin Rogue,True
66287,XLN,Star of Extinction,mythic,R,7,Sorcery,True
66289,XLN,Storm Fleet Arsonist,uncommon,R,5,Creature - Orc Pirate,True
66291,XLN,Storm Fleet Pyromancer,common,R,5,Creature - Human Pirate Wizard,True
66293,XLN,Sun-Crowned Hunters,common,R,6,Creature - Dinosaur,True
66295,XLN,Sunbird's Invocation,rare,R,6,Enchantment,True
66297,XLN,Sure Strike,common,R,2,Instant,True
66299,XLN,Swashbuckling,common,R,2,Enchantment - Aura,True
66301,XLN,Thrash of Raptors,common,R,4,Creature - Dinosaur,True
66303,XLN,Tilonalli's Knight,common,R,2,Creature - Human Knight,True
66305,XLN,Tilonalli's Skinshifter,rare,R,3,Creature - Human Shaman,True
66307,XLN,Trove of Temptation,uncommon,R,4,Enchantment,True
66309,XLN,Unfriendly Fire,common,R,5,Instant,True
66311,XLN,Vance's Blasting Cannons,rare,R,4,Legendary Enchantment,True
66313,XLN,Spitfire Bastion,rare,R,0,Legendary Land,False
66315,XLN,Wily Goblin,uncommon,R,2,Creature - Goblin Pirate,True
66317,XLN,Ancient Brontodon,common,G,8,Creature - Dinosaur,True
66319,XLN,Atzocan Archer,uncommon,G,3,Creature - Human Archer,True
66321,XLN,Blinding Fog,common,G,3,Instant,True
66323,XLN,Blossom Dryad,common,G,3,Creature - Dryad,True
66325,XLN,Carnage Tyrant,mythic,G,6,Creature - Dinosaur,True
66327,XLN,Colossal Dreadmaw,common,G,6,Creature - Dinosaur,True
66329,XLN,Commune with Dinosaurs,common,G,1,Sorcery,True
66331,XLN,Crash the Ramparts,common,G,3,Instant,True
66333,XLN,Crushing Canopy,common,G,3,Instant,True
66335,XLN,Deathgorge Scavenger,rare,G,3,Creature - Dinosaur,True
66337,XLN,Deeproot Champion,rare,G,2,Creature - Merfolk Shaman,True
66339,XLN,Deeproot Warrior,common,G,2,Creature - Merfolk Warrior,True
66341,XLN,Drover of the Mighty,uncommon,G,2,Creature - Human Druid,True
66343,XLN,Emergent Growth,uncommon,G,4,Sorcery,True
66345,XLN,Emperor's Vanguard,rare,G,4,Creature - Human Scout,True
66347,XLN,Grazing Whiptail,common,G,4,Creature - Dinosaur,True
66349,XLN,Growing Rites of Itlimoc,rare,G,3,Legendary Enchantment,True
66351,XLN,"Itlimoc, Cradle of the Sun",rare,G,0,Legendary Land,False
66353,XLN,Ixalli's Diviner,common,G,2,Creature - Human Druid,True
66355,XLN,Ixalli's Keeper,common,G,2,Creature - Human Shaman,True
66357,XLN,Jade Guardian,common,G,4,Creature - Merfolk Shaman,True
66359,XLN,Jungle Delver,common,G,1,Creature - Merfolk Warrior,True
66361,XLN,Kumena's Speaker,uncommon,G,1,Creature - Merfolk Shaman,True
66363,XLN,Merfolk Branchwalker,uncommon,G,2,Creature - Merfolk Scout,True
66365,XLN,New Horizons,common,G,3,Enchantment - Aura,True
66367,XLN,Old-Growth Dryads,rare,G,1,Creature - Dryad,True
66369,XLN,Pounce,common,G,2,Instant,True
66371,XLN,Ranging Raptors,uncommon,G,3,Creature - Dinosaur,True
66373,XLN,Ravenous Daggertooth,common,G,3,Creature - Dinosaur,True
66375,XLN,Ripjaw Raptor,rare,G,4,Creature - Dinosaur,True
66377,XLN,River Heralds' Boon,common,G,2,Instant,True
66379,XLN,Savage Stomp,uncommon,G,3,Sorcery,True
66381,XLN,Shapers' Sanctuary,rare,G,1,Enchantment,True
66383,XLN,Slice in Twain,uncommon,G,4,Instant,True
66385,XLN,Snapping Sailback,uncommon,G,5,Creature - Dinosaur,True
66387,XLN,Spike-Tailed Ceratops,common,G,5,Creature - Dinosaur,True
66389,XLN,Thundering Spineback,uncommon,G,7,Creature - Dinosaur,True
66391,XLN,Tishana's Wayfinder,common,G,3,Creature - Merfolk Scout,True
66393,XLN,Verdant Rebirth,uncommon,G,2,Instant,True
66395,XLN,Verdant Sun's Avatar,rare,G,7,Creature - Dinosaur Avatar,True
66397,XLN,Vineshaper Mystic,uncommon,G,3,Creature - Merfolk Shaman,True
66399,XLN,Waker of the Wilds,rare,G,4,Creature - Merfolk Shaman,True
66401,XLN,Wildgrowth Walker,uncommon,G,2,Creature - Elemental,True
66403,XLN,Admiral Beckett Brass,mythic,BRU,4,Legendary Creature - Human Pirate,True
66405,XLN,Belligerent Brontodon,uncommon,GW,7,Creature - Dinosaur,True
66407,XLN,Call to the Feast,uncommon,BW,4,Sorcery,True
66409,XLN,Deadeye Plunderers,uncommon,BU,5,Creature - Human Pirate,True
66411,XLN,Dire Fleet Captain,uncommon,BR,2,Creature - Orc Pirate,True
66413,XLN,"Gishath, Sun's Avatar",mythic,GRW,8,Legendary Creature - Dinosaur Avatar,True
66415,XLN,Hostage Taker,rare,BU,4,Creature - Human Pirate,True
66417,XLN,"Huatli, Warrior Poet",mythic,RW,5,Legendary Planeswalker - Huatli,True
66419,XLN,Marauding Looter,uncommon,RU,4,Creature - Human Pirate,True
66421,XLN,Raging Swordtooth,uncommon,GR,5,Creature - Dinosaur,True
66423,XLN,Regisaur Alpha,rare,GR,5,Creature - Dinosaur,True
66425,XLN,Shapers of Nature,uncommon,GU,3,Creature - Merfolk Shaman,True
66427,XLN,Sky Terror,uncommon,RW,2,Creature - Dinosaur,True
66429,XLN,"Tishana, Voice of Thunder",mythic,GU,7,Legendary Creature - Merfolk Shaman,True
66431,XLN,"Vona, Butcher of Magan",mythic,BW,5,Legendary Creature - Vampire Knight,True
66433,XLN,"Vraska, Relic Seeker",mythic,BG,6,Legendary Planeswalker - Vraska,True
66435,XLN,Cobbled Wings,common,,2,Artifact - Equipment,True
66437,XLN,Conqueror's Galleon,rare,,4,Artifact - Vehicle,True
66439,XLN,Conqueror's Foothold,rare,,0,Land,False
66441,XLN,Dowsing Dagger,rare,,2,Artifact - Equipment,True
66443,XLN,Lost Vale,rare,,0,Land,False
66445,XLN,Dusk Legion Dreadnought,uncommon,,5,Artifact - Vehicle,True
66447,XLN,Elaborate Firecannon,uncommon,,2,Artifact,True
66449,XLN,Fell Flagship,rare,,3,Artifact - Vehicle,True
66451,XLN,Gilded Sentinel,common,,4,Artifact Creature - Golem,True
66453,XLN,Hierophant's Chalice,common,,3,Artifact,True
66455,XLN,Pillar of Origins,uncommon,,2,Artifact,True
66457,XLN,Pirate's Cutlass,common,,3,Artifact - Equipment,True
66459,XLN,Primal Amulet,rare,,4,Artifact,True
66461,XLN,Primal Wellspring,rare,,0,Land,False
66463,XLN,Prying Blade,common,,1,Artifact - Equipment,True
66465,XLN,Sentinel Totem,uncommon,,1,Artifact,True
66467,XLN,Shadowed Caravel,rare,,2,Artifact - Vehicle,True
66469,XLN,Sleek Schooner,uncommon,,3,Artifact - Vehicle,True
66471,XLN,Sorcerous Spyglass,rare,,2,Artifact,True
66473,XLN,Thaumatic Compass,rare,,2,Artifact,True
66475,XLN,Spires of Orazca,rare,,0,Land,False
66477,XLN,Treasure Map,rare,,2,Artifact,True
66479,XLN,Treasure Cove,rare,,0,Land,False
66481,XLN,Vanquisher's Banner,rare,,5,Artifact,True
66483,XLN,Dragonskull Summit,rare,BR,0,Land,True
66485,XLN,Drowned Catacomb,rare,BU,0,Land,True
66487,XLN,Field of Ruin,uncommon,,0,Land,True
66489,XLN,Glacial Fortress,rare,UW,0,Land,True
66491,XLN,Rootbound Crag,rare,GR,0,Land,True
66493,XLN,Sunpetal Grove,rare,GW,0,Land,True
66495,XLN,Unclaimed Territory,uncommon,,0,Land,True
66497,XLN,Unknown Shores,common,,0,Land,True
66499,XLN,Plains,basic,W,0,Basic Land - Plains,True
66501,XLN,Plains,basic,W,0,Basic Land - Plains,True
66503,XLN,Plains,basic,W,0,Basic Land - Plains,True
66505,XLN,Plains,basic,W,0,Basic Land - Plains,True
66507,XLN,Island,basic,U,0,Basic Land - Island,True
66509,XLN,Island,basic,U,0,Basic Land - Island,True
66511,XLN,Island,basic,U,0,Basic Land - Island,True
66513,XLN,Island,basic,U,0,Basic Land - Island,True
66515,XLN,Swamp,basic,B,0,Basic Land - Swamp,True
66517,XLN,Swamp,basic,B,0,Basic Land - Swamp,True
66519,XLN,Swamp,basic,B,0,Basic Land - Swamp,True
66521,XLN,Swamp,basic,B,0,Basic Land - Swamp,True
66523,XLN,Mountain,basic,R,0,Basic Land - Mountain,True
66525,XLN,Mountain,basic,R,0,Basic Land - Mountain,True
66527,XLN,Mountain,basic,R,0,Basic Land - Mountain,True
66529,XLN,Mountain,basic,R,0,Basic Land - Mountain,True
66531,XLN,Forest,basic,G,0,Basic Land - Forest,True
66533,XLN,Forest,basic,G,0,Basic Land - Forest,True
66535,XLN,Forest,basic,G,0,Basic Land - Forest,True
66537,XLN,Forest,basic,G,0,Basic Land - Forest,True
66541,XLN,"Jace, Ingenious Mind-Mage",mythic,U,6,Legendary Planeswalker - Jace,False
66543,XLN,Castaway's Despair,common,U,4,Enchantment - Aura,False
66545,XLN,Grasping Current,rare,U,5,Sorcery,False
66547,XLN,Jace's Sentinel,uncommon,U,2,Creature - Merfolk Warrior,False
66549,XLN,Woodland Stream,common,GU,0,Land,False
66551,XLN,"Huatli, Dinosaur Knight",mythic,RW,6,Legendary Planeswalker - Huatli,False
66553,XLN,Huatli's Snubhorn,common,W,2,Creature - Dinosaur,False
66555,XLN,Huatli's Spurring,uncommon,R,1,Instant,False
66557,XLN,Sun-Blessed Mount,rare,RW,5,Creature - Dinosaur,False
66559,XLN,Stone Quarry,common,RW,0,Land,False
66588,THOU,Adorned Pouncer,token,,0,Creature - Zombie Cat,False
66609,TXLN,Vampire,token,,0,Creature - Vampire,False
66610,TXLN,Illusion,token,,0,Creature - Illusion,False
66611,TXLN,Merfolk,token,,0,Creature - Merfolk,False
66612,TXLN,Pirate,token,,0,Creature - Pirate,False
66613,TXLN,Dinosaur,token,,0,Creature - Dinosaur,False
66614,TXLN,Plant,token,,0,Creature - Plant,False
66615,TXLN,Treasure,token,,0,Artifact - Treasure,False
66616,TXLN,Treasure,token,,0,Artifact - Treasure,False
66617,TXLN,Treasure,token,,0,Artifact - Treasure,False
66618,TXLN,Treasure,token,,0,Artifact - Treasure,False
66619,RIX,Baffling End,uncommon,W,2,Enchantment,True
66621,RIX,Bishop of Binding,rare,W,4,Creature - Vampire Cleric,True
66623,RIX,Blazing Hope,uncommon,W,1,Instant,True
66625,RIX,Cleansing Ray,common,W,2,Sorcery,True
66627,RIX,Divine Verdict,common,W,4,Instant,True
66629,RIX,Everdawn Champion,uncommon,W,3,Creature - Human Soldier,True
66631,RIX,Exultant Skymarcher,common,W,3,Creature - Vampire Soldier,True
66633,RIX,Famished Paladin,uncommon,W,2,Creature - Vampire Knight,True
66635,RIX,Forerunner of the Legion,uncommon,W,3,Creature - Vampire Knight,True
66637,RIX,Imperial Ceratops,uncommon,W,5,Creature - Dinosaur,True
66639,RIX,Legion Conquistador,common,W,3,Creature - Vampire Soldier,True
66641,RIX,Luminous Bonds,common,W,3,Enchantment - Aura,True
66643,RIX,Majestic Heliopterus,uncommon,W,4,Creature - Dinosaur,True
66645,RIX,Martyr of Dusk,common,W,2,Creature - Vampire Soldier,True
66647,RIX,Moment of Triumph,common,W,1,Instant,True
66649,RIX,Paladin of Atonement,rare,W,2,Creature - Vampire Knight,True
66651,RIX,Pride of Conquerors,uncommon,W,2,Instant,True
66653,RIX,Radiant Destiny,rare,W,3,Enchantment,True
66655,RIX,Raptor Companion,common,W,2,Creature - Dinosaur,True
66657,RIX,Sanguine Glorifier,common,W,4,Creature - Vampire Cleric,True
66659,RIX,Skymarcher Aspirant,uncommon,W,1,Creature - Vampire Soldier,True
66661,RIX,Slaughter the Strong,rare,W,3,Sorcery,True
66663,RIX,Snubhorn Sentry,common,W,1,Creature - Dinosaur,True
66665,RIX,Sphinx's Decree,rare,W,2,Sorcery,True
66667,RIX,Squire's Devotion,common,W,3,Enchantment - Aura,True
66669,RIX,Sun Sentinel,common,W,2,Creature - Human Soldier,True
66671,RIX,Sun-Crested Pterodon,common,W,5,Creature - Dinosaur,True
66673,RIX,Temple Altisaur,rare,W,5,Creature - Dinosaur,True
66675,RIX,Trapjaw Tyrant,mythic,W,5,Creature - Dinosaur,True
66677,RIX,"Zetalpa, Primal Dawn",rare,W,8,Legendary Creature - Elder Dinosaur,True
66679,RIX,Admiral's Order,rare,U,3,Instant,True
66681,RIX,Aquatic Incursion,uncommon,U,4,Enchantment,True
66683,RIX,Crafty Cutpurse,rare,U,4,Creature - Human Pirate,True
66685,RIX,Crashing Tide,common,U,3,Sorcery,True
66687,RIX,Curious Obsession,uncommon,U,1,Enchantment - Aura,True
66689,RIX,Deadeye Rig-Hauler,common,U,4,Creature - Human Pirate,True
66691,RIX,Expel from Orazca,uncommon,U,2,Instant,True
66693,RIX,Flood of Recollection,uncommon,U,2,Sorcery,True
66695,RIX,Hornswoggle,uncommon,U,3,Instant,True
66697,RIX,Induced Amnesia,rare,U,3,Enchantment,True
66699,RIX,Kitesail Corsair,common,U,2,Creature - Human Pirate,True
66701,RIX,Kumena's Awakening,rare,U,4,Enchantment,True
66703,RIX,Mist-Cloaked Herald,common,U,1,Creature - Merfolk Warrior,True
66705,RIX,Negate,common,U,2,Instant,True
66707,RIX,"Nezahal, Primal Tide",rare,U,7,Legendary Creature - Elder Dinosaur,True
66709,RIX,Release to the Wind,rare,U,3,Instant,True
66711,RIX,River Darter,common,U,3,Creature - Merfolk Warrior,True
66713,RIX,Riverwise Augur,uncommon,U,4,Creature - Merfolk Wizard,True
66715,RIX,Sailor of Means,common,U,3,Creature - Human Pirate,True
66717,RIX,Sea Legs,common,U,1,Enchantment - Aura,True
66719,RIX,Seafloor Oracle,rare,U,4,Creature - Merfolk Wizard,True
66721,RIX,Secrets of the Golden City,common,U,3,Sorcery,True
66723,RIX,Silvergill Adept,uncommon,U,2,Creature - Merfolk Wizard,True
66725,RIX,Siren Reaver,uncommon,U,4,Creature - Siren Pirate,True
66727,RIX,Slippery Scoundrel,uncommon,U,3,Creature - Human Pirate,True
66729,RIX,Soul of the Rapids,common,U,5,Creature - Elemental,True
66731,RIX,Spire Winder,common,U,4,Creature - Snake,True
66733,RIX,Sworn Guardian,common,U,2,Creature - Merfolk Warrior,True
66735,RIX,Timestream Navigator,mythic,U,2,Creature - Human Pirate Wizard,True
66737,RIX,Warkite Marauder,rare,U,2,Creature - Human Pirate,True
66739,RIX,Waterknot,common,U,3,Enchantment - Aura,True
66741,RIX,Arterial Flow,uncommon,B,3,Sorcery,True
66743,RIX,Canal Monitor,common,B,5,Creature - Lizard,True
66745,RIX,Champion of Dusk,rare,B,5,Creature - Vampire Knight,True
66747,RIX,Dark Inquiry,common,B,3,Sorcery,True
66749,RIX,Dead Man's Chest,rare,B,2,Enchantment - Aura,True
66751,RIX,Dinosaur Hunter,common,B,2,Creature - Human Pirate,True
66753,RIX,Dire Fleet Poisoner,rare,B,2,Creature - Human Pirate,True
66755,RIX,Dusk Charger,common,B,4,Creature - Horse,True
66757,RIX,Dusk Legion Zealot,common,B,2,Creature - Vampire Soldier,True
66759,RIX,Fathom Fleet Boarder,common,B,3,Creature - Orc Pirate,True
66761,RIX,Forerunner of the Coalition,uncommon,B,3,Creature - Human Pirate,True
66763,RIX,Golden Demise,uncommon,B,3,Sorcery,True
66765,RIX,Grasping Scoundrel,common,B,1,Creature - Human Pirate,True
66767,RIX,Gruesome Fate,common,B,3,Sorcery,True
66769,RIX,Impale,common,B,4,Sorcery,True
66771,RIX,Mastermind's Acquisition,rare,B,4,Sorcery,True
66773,RIX,Mausoleum Harpy,uncommon,B,5,Creature - Harpy,True
66775,RIX,Moment of Craving,common,B,2,Instant,True
66777,RIX,Oathsworn Vampire,uncommon,B,2,Creature - Vampire Knight,True
66779,RIX,Pitiless Plunderer,uncommon,B,4,Creature - Human Pirate,True
